Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
3K523C37SUjuHpvTgebqdiYNdX1dEnevcHbeywbJoDe97UWgY1W2Bv9yU5N6dkRJ61GAHb44hK3M6fvn9GAMJxTa,1760001350,2025-10-09T09:15:50.000Z,TRANSFER,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,7912998205,out,1750.16,9,SOL,1
3yexZnF4DxMbEsfX6t1AVtycMxcfBMjPBcukjZcNwHpd1yQB7iXSeLZnPeyntiGspavned2PabZ2FLTECZcccYje,1759984360,2025-10-09T04:32:40.000Z,TRANSFER,CQcvUHWv3VCzut1APyhddZgnzu4z19xRz8YqgeXFGJTr,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,3194028381,in,725.39,9,SOL,1
syWoJerrXJMhE6JMLxDtDc5fLuzGrLSsrpJBjmQXV3bafBiYnwH22QRevwkNsA952mNk3DGzG1fCtAh4YnGpBqS,1759984348,2025-10-09T04:32:28.000Z,TRANSFER,FJwtUC9JLwZEgUR5AGFQ6dNsaxYJUNkXEGMLkMvE4YBQ,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,2645541042,in,600.82,9,SOL,1
95H7b3zaxUVhjTNfchqv5YUDcno9jFgsAcqMgTNiiLD1Rav1ucALNc9Dkn9bsjFYfUJR89QNajXLQU3F1xfxnwT,1759984324,2025-10-09T04:32:04.000Z,TRANSFER,DYLipjrFb9PCnpQH4BmidbgdqNdFSoL1irs9mHM3vrQX,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,2073443781,in,470.89,9,SOL,1
2QbdLUqwHcNjDdTjFEqvJYQFE7WtGJphQMeWJ6EXg2Q6fwkEmx88q1rt5hyTpfYuMo73CyPrTYuwrEZBJv9CsL5r,1759555174,2025-10-04T05:19:34.000Z,TRANSFER,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,6747060536,out,1555.14,9,SOL,1
gctzXKmPUokTVcT4J7YjMVojGc1KLBMNbB5wWWZX15wNjUwU7y3sDuxp2fd4pLzxwRQDFnAMCUx1j2ykvSk7Lwd,1759493280,2025-10-03T12:08:00.000Z,TRANSFER,8NUVMVzt4jYURNtQHyYxUcDyxkXoXtk8Aj9V4m8PMYzt,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,904658348,in,208.52,9,SOL,1
2RZB4QYrpewcq6NYciJZWHisjbXnBRF5wZaXvpW1Et2HJh8yQQeDcbPuecRSZkppuwaNpGdAYo96exAYERPZniTJ,1759493242,2025-10-03T12:07:22.000Z,TRANSFER,DLNjxwHe3w8a6LQnejWEGHXT9XUR5o7HLzHYxu5uQHPe,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,1332933426,in,307.24,9,SOL,1
WVep7vtsTGpEQavvjrpjyuSpPPCJuZNwUFBxQ5YyYDzJ7cr5TAyrjAW8zY9hkzWVVpMy6an59URSJzB9osRW8Ui,1759493220,2025-10-03T12:07:00.000Z,TRANSFER,CfystnMhTZ23a4VS25ZwijKiBLFx1EdhBVcCnYvPf9ir,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,1284234170,in,296.02,9,SOL,1
4uYd24vuBuBn5URUv6H5G9Z5vB6q7nZEPX5ZsvNGTvsga1aYbJfA7VvNHXsp3MhtXoURoAKeDAyhMGY2ApTYqN67,1759493193,2025-10-03T12:06:33.000Z,TRANSFER,GunQy9nMU1GE7Kup1dL8y9PcafDgsu5u35A19df39Gj,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,947448745,in,218.39,9,SOL,1
4X68FYYaDhHrvCGKojrHGZwUkWsFCu1NvcQBi5tUprTL1EkxH5Q2yEgXud4d98TvZXJoRSiqoTvgmFJGndcwFgW8,1759493165,2025-10-03T12:06:05.000Z,TRANSFER,Ca1XCDmADgf61BPEiwfd2yJtGuHpgK91tBpXmwrNdU2o,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,2277800847,in,526.17,9,SOL,1
